"date";"category";"value"
"2025-06-01";"Курская область";62.6
"2025-06-01";"Ленинградская область";73.8
"2025-06-01";"Липецкая область";64.3
"2025-06-01";"Магаданская область";76.2
"2025-06-01";"Москва";74
"2025-06-01";"Московская область";70.3
"2025-06-01";"Мурманская область";75.8
"2025-06-01";"Ненецкий автономный округ";79.5
"2025-06-01";"Нижегородская область";68.7
"2025-06-01";"Новгородская область";70.6
"2025-06-01";"Новосибирская область";68.3
"2025-06-01";"Омская область";67.5
"2025-06-01";"Оренбургская область";64.5
"2025-06-01";"Орловская область";65
"2025-06-01";"Пензенская область";61.3
"2025-06-01";"Пермский край";71.6
"2025-06-01";"Приморский край";65.9
"2025-06-01";"Псковская область";67.7
"2025-06-01";"Республика Адыгея";60.8
"2025-06-01";"Республика Алтай";70.2
"2025-06-01";"Республика Башкортостан";69
"2025-06-01";"Республика Бурятия";71.1
"2025-06-01";"Республика Дагестан";30.5
"2025-06-01";"Республика Ингушетия";22.3
"2025-06-01";"Республика Калмыкия";60.5
"2025-06-01";"Республика Карелия";75.4
"2025-06-01";"Республика Коми";76.1
"2025-06-01";"Республика Крым";62.5
"2025-06-01";"Республика Марий Эл";67.8
"2025-06-01";"Республика Мордовия";64.1
"2025-06-01";"Республика Саха (Якутия)";77.7
"2025-06-01";"Республика Северная Осетия — Алания";47.2
"2025-06-01";"Республика Татарстан";65.9
"2025-06-01";"Республика Тыва";67.5
"2025-06-01";"Республика Хакасия";66.8
"2025-06-01";"Россия";68.4
"2025-06-01";"Ростовская область";62.3
"2025-06-01";"Рязанская область";63.7
"2025-06-01";"Самарская область";66.7
"2025-06-01";"Санкт-Петербург";74.7
"2025-06-01";"Саратовская область";64.4
"2025-06-01";"Сахалинская область";73.5
"2025-06-01";"Свердловская область";71.7
"2025-06-01";"Севастополь";69.4
"2025-06-01";"Смоленская область";61.5
"2025-06-01";"Ставропольский край";58.5
"2025-06-01";"Тамбовская область";61.4
"2025-06-01";"Тверская область";68.4
"2025-06-01";"Томская область";73.1
"2025-06-01";"Тульская область";65.2
"2025-06-01";"Тюменская область";72.9
"2025-06-01";"Удмуртская Республика";68.2
"2025-06-01";"Ульяновская область";62.8
"2025-06-01";"Хабаровский край";71.3
"2025-06-01";"Ханты-Мансийский автономный округ — Югра";72.8
"2025-06-01";"Челябинская область";66.6
"2025-06-01";"Чеченская Республика";24.3
"2025-06-01";"Чувашская Республика";65.1
"2025-06-01";"Чукотский автономный округ";79.4
"2025-06-01";"Ямало-Ненецкий автономный округ";76.2
"2025-06-01";"Ярославская область";69.1
"2025-05-01";"Алтайский край";67.7
"2025-05-01";"Амурская область";71.5
"2025-05-01";"Архангельская область";79.1
"2025-05-01";"Астраханская область";60.9
"2025-05-01";"Белгородская область";66.8
"2025-05-01";"Брянская область";61.7
"2025-05-01";"Владимирская область";68
"2025-05-01";"Волгоградская область";66.3
"2025-05-01";"Вологодская область";72.4
"2025-05-01";"Воронежская область";69
"2025-05-01";"Еврейская автономная область";70.7
"2025-05-01";"Забайкальский край";70.5
"2025-05-01";"Ивановская область";65.6
"2025-05-01";"Иркутская область";70.1
"2025-05-01";"Кабардино-Балкарская Республика";43.7
"2025-05-01";"Калининградская область";71.8
"2025-05-01";"Калужская область";67.2
"2025-05-01";"Камчатский край";75.7
"2025-05-01";"Карачаево-Черкесская Республика";50.4
"2025-05-01";"Кемеровская область";71.2
"2025-05-01";"Кировская область";72.1
"2025-05-01";"Костромская область";68
"2025-05-01";"Краснодарский край";66.2
"2025-05-01";"Красноярский край";70.7
"2025-05-01";"Курганская область";69.2
"2025-05-01";"Курская область";63.3
"2025-05-01";"Ленинградская область";74.5
"2025-05-01";"Липецкая область";66.1
"2025-05-01";"Магаданская область";79.6
"2025-05-01";"Москва";73.9
"2025-05-01";"Московская область";71.3
"2025-05-01";"Мурманская область";77.2
"2025-05-01";"Ненецкий автономный округ";81.9
"2025-05-01";"Нижегородская область";70
"2025-05-01";"Новгородская область";72.2
"2025-05-01";"Новосибирская область";68.7
"2025-05-01";"Омская область";68.8
"2025-05-01";"Оренбургская область";65.6
"2025-05-01";"Орловская область";65.7
"2025-05-01";"Пензенская область";63
"2025-05-01";"Пермский край";73
"2025-05-01";"Приморский край";66.5
"2025-05-01";"Псковская область";68.9
"2025-05-01";"Республика Адыгея";61.3
"2025-05-01";"Республика Алтай";74.1
"2025-05-01";"Республика Башкортостан";70
"2025-05-01";"Республика Бурятия";72.7
"2025-05-01";"Республика Дагестан";32
"2025-05-01";"Республика Ингушетия";23.8
"2025-05-01";"Республика Калмыкия";60.2
"2025-05-01";"Республика Карелия";76.3
"2025-05-01";"Республика Коми";77.2
