date;region;value
2025-03-01;Республика Калмыкия;240
2025-03-01;Республика Дагестан;607
2025-03-01;Республика Бурятия;1862
2025-03-01;Республика Башкортостан;8506
2025-03-01;Республика Алтай;440
2025-03-01;Республика Адыгея;878
2025-03-01;Псковская область;623
2025-03-01;Приморский край;3387
2025-03-01;Пермский край;4454
2025-03-01;Пензенская область;2049
2025-03-01;Орловская область;1240
2025-03-01;Оренбургская область;3978
2025-03-01;Омская область;4349
2025-03-01;Новосибирская область;8975
2025-03-01;Новгородская область;786
2025-03-01;Нижегородская область;4297
2025-03-01;Мурманская область;1220
2025-03-01;Московская область;15737
2025-03-01;Москва;14593
2025-03-01;Магаданская область;306
2025-03-01;Липецкая область;1791
2025-03-01;Ленинградская область;6415
2025-03-01;Курская область;1903
2025-03-01;Курганская область;1084
2025-03-01;Красноярский край;5341
2025-03-01;Краснодарский край;25133
2025-03-01;Костромская область;1172
2025-03-01;Кировская область;1576
2025-03-01;Кемеровская область;6626
2025-03-01;Карачаево-Черкесская Республика;332
2025-03-01;Камчатский край;496
2025-03-01;Калужская область;3495
2025-03-01;Калининградская область;3881
2025-03-01;Кабардино-Балкарская Республика;302
2025-03-01;Иркутская область;3579
2025-03-01;Ивановская область;1251
2025-03-01;Забайкальский край;1750
2025-03-01;Еврейская автономная область;93
2025-03-01;Воронежская область;3645
2025-03-01;Вологодская область;1899
2025-03-01;Волгоградская область;4006
2025-03-01;Владимирская область;4583
2025-03-01;Брянская область;1359
2025-03-01;Белгородская область;3703
2025-03-01;Астраханская область;1649
2025-03-01;Архангельская область;1788
2025-03-01;Амурская область;2921
2025-03-01;Алтайский край;2303
2025-03-01;Россия;293326
2025-02-01;Ярославская область;2352
2025-02-01;Ямало-Ненецкий автономный округ;1485
2025-02-01;Чукотский автономный округ;118
2025-02-01;Чувашская Республика;1868
2025-02-01;Чеченская Республика;327
2025-02-01;Челябинская область;5709
2025-02-01;Ханты-Мансийский автономный округ — Югра;6256
2025-02-01;Хабаровский край;3261
2025-02-01;Ульяновская область;2012
2025-02-01;Удмуртская Республика;1829
2025-02-01;Тюменская область;10202
2025-02-01;Тульская область;2003
2025-02-01;Томская область;2109
2025-02-01;Тверская область;1540
