"date";"category";"value"
"2025-07-31";"Псковская область";75297
"2025-07-31";"Республика Адыгея";90184
"2025-07-31";"Республика Алтай";160775
"2025-07-31";"Республика Башкортостан";83827
"2025-07-31";"Республика Бурятия";117963
"2025-07-31";"Республика Дагестан";90895
"2025-07-31";"Республика Ингушетия";35970
"2025-07-31";"Республика Калмыкия";87564
"2025-07-31";"Республика Карелия";85759
"2025-07-31";"Республика Коми";74474
"2025-07-31";"Республика Крым";153740
"2025-07-31";"Республика Марий Эл";84891
"2025-07-31";"Республика Мордовия";84688
"2025-07-31";"Республика Саха (Якутия)";132907
"2025-07-31";"Республика Северная Осетия — Алания";86240
"2025-07-31";"Республика Татарстан";115792
"2025-07-31";"Республика Тыва";100791
"2025-07-31";"Республика Хакасия";83955
"2025-07-31";"Россия";116365
"2025-07-31";"Ростовская область";93902
"2025-07-31";"Рязанская область";78097
"2025-07-31";"Самарская область";93027
"2025-07-31";"Санкт-Петербург";215887
"2025-07-31";"Саратовская область";78176
"2025-07-31";"Сахалинская область";136465
"2025-07-31";"Свердловская область";92618
"2025-07-31";"Севастополь";166197
"2025-07-31";"Смоленская область";69707
"2025-07-31";"Ставропольский край";92342
"2025-07-31";"Тамбовская область";77488
"2025-07-31";"Тверская область";81220
"2025-07-31";"Томская область";104401
"2025-07-31";"Тульская область";82802
"2025-07-31";"Тюменская область";104751
"2025-07-31";"Удмуртская Республика";85676
"2025-07-31";"Ульяновская область";81059
"2025-07-31";"Хабаровский край";91204
"2025-07-31";"Ханты-Мансийский автономный округ — Югра";91359
"2025-07-31";"Челябинская область";78486
"2025-07-31";"Чеченская Республика";39172
"2025-07-31";"Чувашская Республика";94481
"2025-07-31";"Чукотский автономный округ";139468
"2025-07-31";"Ямало-Ненецкий автономный округ";132008
"2025-07-31";"Ярославская область";79511
"2025-06-30";"Алтайский край";90202
"2025-06-30";"Амурская область";129794
"2025-06-30";"Архангельская область";102132
"2025-06-30";"Астраханская область";76980
"2025-06-30";"Белгородская область";84329
"2025-06-30";"Брянская область";70428
"2025-06-30";"Владимирская область";72590
"2025-06-30";"Волгоградская область";81864
"2025-06-30";"Вологодская область";81142
"2025-06-30";"Воронежская область";94183
"2025-06-30";"Еврейская автономная область";85470
"2025-06-30";"Забайкальский край";107965
"2025-06-30";"Ивановская область";74592
"2025-06-30";"Иркутская область";92696
"2025-06-30";"Кабардино-Балкарская Республика";70969
"2025-06-30";"Калининградская область";108395
"2025-06-30";"Калужская область";91372
"2025-06-30";"Камчатский край";127193
"2025-06-30";"Карачаево-Черкесская Республика";82882
"2025-06-30";"Кемеровская область";79846
"2025-06-30";"Кировская область";87267
"2025-06-30";"Костромская область";73552
"2025-06-30";"Краснодарский край";147071
"2025-06-30";"Красноярский край";96930
"2025-06-30";"Курганская область";76064
"2025-06-30";"Курская область";100686
"2025-06-30";"Ленинградская область";132036
"2025-06-30";"Липецкая область";77059
"2025-06-30";"Магаданская область";130934
"2025-06-30";"Москва";310560
"2025-06-30";"Московская область";149533
"2025-06-30";"Мурманская область";79660
"2025-06-30";"Ненецкий автономный округ";106399
"2025-06-30";"Нижегородская область";107336
"2025-06-30";"Новгородская область";80543
"2025-06-30";"Новосибирская область";113308
"2025-06-30";"Омская область";102694
"2025-06-30";"Оренбургская область";68376
"2025-06-30";"Орловская область";73853
"2025-06-30";"Пензенская область";80409
"2025-06-30";"Пермский край";81446
"2025-06-30";"Приморский край";130430
"2025-06-30";"Псковская область";75342
"2025-06-30";"Республика Адыгея";87792
