"date";"category";"value"
"2025-05-31";"Саратовская область";101581
"2025-05-31";"Сахалинская область";202482
"2025-05-31";"Свердловская область";149299
"2025-05-31";"Севастополь";171477
"2025-05-31";"Смоленская область";93883
"2025-05-31";"Ставропольский край";109380
"2025-05-31";"Тамбовская область";100456
"2025-05-31";"Тверская область";119090
"2025-05-31";"Томская область";150821
"2025-05-31";"Тульская область";133687
"2025-05-31";"Тюменская область";142161
"2025-05-31";"Удмуртская Республика";117049
"2025-05-31";"Ульяновская область";114366
"2025-05-31";"Хабаровский край";159776
"2025-05-31";"Ханты-Мансийский автономный округ — Югра";143161
"2025-05-31";"Челябинская область";121254
"2025-05-31";"Чувашская Республика";112443
"2025-05-31";"Ямало-Ненецкий автономный округ";180125
"2025-05-31";"Ярославская область";110901
"2025-04-30";"Алтайский край";125258
"2025-04-30";"Амурская область";187472
"2025-04-30";"Архангельская область";125159
"2025-04-30";"Астраханская область";157797
"2025-04-30";"Белгородская область";119179
"2025-04-30";"Брянская область";102184
"2025-04-30";"Владимирская область";110812
"2025-04-30";"Волгоградская область";116796
"2025-04-30";"Вологодская область";104318
"2025-04-30";"Воронежская область";122871
"2025-04-30";"Забайкальский край";172535
"2025-04-30";"Ивановская область";100868
"2025-04-30";"Иркутская область";155549
"2025-04-30";"Кабардино-Балкарская Республика";91030
"2025-04-30";"Калининградская область";132023
"2025-04-30";"Калужская область";114528
"2025-04-30";"Камчатский край";179187
"2025-04-30";"Карачаево-Черкесская Республика";97791
"2025-04-30";"Кемеровская область";124753
"2025-04-30";"Кировская область";125490
"2025-04-30";"Костромская область";100774
"2025-04-30";"Краснодарский край";167969
"2025-04-30";"Красноярский край";130688
"2025-04-30";"Курганская область";96788
"2025-04-30";"Курская область";115660
"2025-04-30";"Ленинградская область";171267
"2025-04-30";"Липецкая область";99827
"2025-04-30";"Москва";349763
"2025-04-30";"Московская область";190609
"2025-04-30";"Нижегородская область";160631
"2025-04-30";"Новгородская область";104425
"2025-04-30";"Новосибирская область";142277
"2025-04-30";"Омская область";157280
"2025-04-30";"Оренбургская область";90705
"2025-04-30";"Орловская область";86023
"2025-04-30";"Пензенская область";103804
"2025-04-30";"Пермский край";148072
"2025-04-30";"Приморский край";169389
"2025-04-30";"Псковская область";81200
"2025-04-30";"Республика Адыгея";127632
"2025-04-30";"Республика Алтай";241441
"2025-04-30";"Республика Башкортостан";143223
"2025-04-30";"Республика Бурятия";143842
"2025-04-30";"Республика Дагестан";157158
"2025-04-30";"Республика Калмыкия";78412
"2025-04-30";"Республика Карелия";130543
"2025-04-30";"Республика Коми";115152
"2025-04-30";"Республика Крым";193791
"2025-04-30";"Республика Марий Эл";107145
"2025-04-30";"Республика Мордовия";118507
"2025-04-30";"Республика Саха (Якутия)";176612
"2025-04-30";"Республика Северная Осетия — Алания";113246
"2025-04-30";"Республика Татарстан";185579
"2025-04-30";"Республика Тыва";158509
"2025-04-30";"Республика Хакасия";129502
"2025-04-30";"Россия";172155
"2025-04-30";"Ростовская область";138309
"2025-04-30";"Рязанская область";122620
"2025-04-30";"Самарская область";128524
"2025-04-30";"Санкт-Петербург";247251
"2025-04-30";"Саратовская область";101472
"2025-04-30";"Сахалинская область";203400
"2025-04-30";"Свердловская область";149230
"2025-04-30";"Севастополь";164374
"2025-04-30";"Смоленская область";93857
"2025-04-30";"Ставропольский край";109236
"2025-04-30";"Тамбовская область";101058
"2025-04-30";"Тверская область";120050
"2025-04-30";"Томская область";148109
"2025-04-30";"Тульская область";133177
"2025-04-30";"Тюменская область";141889
"2025-04-30";"Удмуртская Республика";114775
"2025-04-30";"Ульяновская область";114716
"2025-04-30";"Хабаровский край";159610
"2025-04-30";"Ханты-Мансийский автономный округ — Югра";142682
"2025-04-30";"Челябинская область";121698
"2025-04-30";"Чувашская Республика";113565
"2025-04-30";"Ямало-Ненецкий автономный округ";178952
"2025-04-30";"Ярославская область";112167
"2025-03-31";"Алтайский край";125099
"2025-03-31";"Амурская область";187389
"2025-03-31";"Архангельская область";124509
"2025-03-31";"Астраханская область";157705
"2025-03-31";"Белгородская область";118210
"2025-03-31";"Брянская область";102144
"2025-03-31";"Владимирская область";107722
"2025-03-31";"Волгоградская область";115065
"2025-03-31";"Вологодская область";102284
"2025-03-31";"Воронежская область";121989
"2025-03-31";"Забайкальский край";172298
"2025-03-31";"Ивановская область";101328
"2025-03-31";"Иркутская область";155893
"2025-03-31";"Кабардино-Балкарская Республика";97538
"2025-03-31";"Калининградская область";131336
"2025-03-31";"Калужская область";115819
"2025-03-31";"Камчатский край";176822
"2025-03-31";"Карачаево-Черкесская Республика";95498
"2025-03-31";"Кемеровская область";124380
"2025-03-31";"Кировская область";124897
"2025-03-31";"Костромская область";102555
"2025-03-31";"Краснодарский край";167623
"2025-03-31";"Красноярский край";130270
"2025-03-31";"Курганская область";94502
"2025-03-31";"Курская область";113296
"2025-03-31";"Ленинградская область";171237
"2025-03-31";"Липецкая область";99319
"2025-03-31";"Москва";354966
"2025-03-31";"Московская область";190455
"2025-03-31";"Нижегородская область";159297
"2025-03-31";"Новгородская область";110028
"2025-03-31";"Новосибирская область";140834
"2025-03-31";"Омская область";160627
"2025-03-31";"Оренбургская область";88677
"2025-03-31";"Орловская область";85686
"2025-03-31";"Пензенская область";103897
"2025-03-31";"Пермский край";146208
"2025-03-31";"Приморский край";168903
"2025-03-31";"Псковская область";81817
"2025-03-31";"Республика Адыгея";125728
"2025-03-31";"Республика Алтай";240029
"2025-03-31";"Республика Башкортостан";142441
"2025-03-31";"Республика Бурятия";144284
"2025-03-31";"Республика Дагестан";156080
"2025-03-31";"Республика Калмыкия";75611
"2025-03-31";"Республика Карелия";129243
"2025-03-31";"Республика Коми";115335
"2025-03-31";"Республика Крым";187282
"2025-03-31";"Республика Марий Эл";107016
"2025-03-31";"Республика Мордовия";116968
"2025-03-31";"Республика Саха (Якутия)";177579
"2025-03-31";"Республика Северная Осетия — Алания";110586
"2025-03-31";"Республика Татарстан";186491
"2025-03-31";"Республика Тыва";158533
"2025-03-31";"Республика Хакасия";124251
"2025-03-31";"Россия";172032
"2025-03-31";"Ростовская область";136965
"2025-03-31";"Рязанская область";122626
"2025-03-31";"Самарская область";128837
"2025-03-31";"Санкт-Петербург";243787
"2025-03-31";"Саратовская область";100207
"2025-03-31";"Сахалинская область";203639
"2025-03-31";"Свердловская область";148835
"2025-03-31";"Севастополь";157765
"2025-03-31";"Смоленская область";92891
"2025-03-31";"Ставропольский край";109281
"2025-03-31";"Тамбовская область";99907
"2025-03-31";"Тверская область";121398
"2025-03-31";"Томская область";143865
"2025-03-31";"Тульская область";133515
"2025-03-31";"Тюменская область";142129
"2025-03-31";"Удмуртская Республика";114109
